sale_id,sale_date,region,country,brand,model,tier,body_type,model_year,age_years,fuel_type,transmission,engine_displacement_l,horsepower,mileage_km,color,n_owners,accidents,sales_channel,country_of_origin,sale_price_usd
S000001,2025-10-07,China,China,BYD,Han,mass,sedan,2025,0.76,electric,automatic,3.0,277,16505,white,1,0,dealer_new,China,22899.2
S000002,2025-12-24,Japan,Japan,Mazda,CX-5,mass,suv,2025,0.98,hybrid,manual,2.0,175,8769,grey,1,2,dealer_used,Japan,24151.07
S000003,2024-05-07,North America,USA,Ford,Escape,mass,suv,2024,0.35,petrol,manual,2.0,217,6395,orange,1,0,private,USA,31335.14
S000004,2026-02-18,Western Europe,Germany,Nissan,Altima,mass,sedan,2026,0.13,lpg,cvt,2.0,177,815,red,1,0,dealer_used,Japan,26774.55
S000005,2026-02-14,China,China,Volvo,XC60,premium,suv,2023,3.12,hybrid,automatic,2.0,208,52047,white,1,0,dealer_used,Sweden,32966.11
S000006,2021-10-13,Latin America,Chile,Kia,Sorento,mass,suv,2021,0.78,hybrid,automatic,3.0,321,14454,blue,1,0,dealer_used,South Korea,24232.21
S000007,2026-01-20,China,China,Volkswagen,Passat,mass,sedan,2026,0.05,petrol,cvt,2.0,205,0,green,1,0,dealer_used,Germany,28013.57
S000008,2024-09-30,Western Europe,Spain,Land Rover,Defender,luxury,suv,2024,0.75,hybrid,automatic,3.0,394,9150,blue,1,0,dealer_used,UK,126767.59
S000009,2025-08-01,Latin America,Chile,Mahindra,XUV700,mass,suv,2022,3.58,hybrid,dct,3.0,349,41706,red,1,0,auction,India,7792.55
S000010,2024-03-21,Western Europe,Germany,Kia,Sportage,mass,suv,2024,0.22,petrol,automatic,2.0,179,6250,black,1,2,dealer_used,South Korea,24263.2
S000011,2024-03-09,North America,Mexico,Jeep,Compass,mass,suv,2023,1.19,petrol,dct,2.0,161,24577,grey,1,0,private,USA,29439.3
S000012,2022-05-26,Eastern Europe,Czechia,Volkswagen,Tiguan,mass,suv,2022,0.4,diesel,automatic,2.0,142,8720,black,1,1,online_marketplace,Germany,24534.89
S000013,2026-03-15,North America,USA,Fiat,Panda,mass,hatchback,2026,0.2,petrol,cvt,1.4,103,2170,green,1,0,dealer_new,Italy,16346.11
